,Account Name: Account Name,count,Order_Won,min,max,mean,sum,Bundle,Cloud : New,Cloud : Renewal,Hardware : FRUs,Hardware : Stations,Other Services : CPaaS,Other Services : Validation,Other Support Services : Activation,Warranty : Assure,Warranty : Assure Renewal,LastPurchase,FirstPurchase,output(kW)
14202,Marin Country Day School,2,2,275.0,1316.0,795.5,1591.0,0.0,0.0,329.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,457,568,0.0
14203,Marin Gateway GARP LLC,4,4,325.0,725.0,599.5,2398.0,0.0,0.0,674.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,91,498,0.0
14204,Marin RV & Boat Storage,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565,565,0.0
14205,Marin Rowing Association,2,2,1316.0,1380.0,1348.0,2696.0,0.0,0.0,674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265,642,0.0
14206,Marin Sanitary Services,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320,320,0.0
14207,Marin Street Holdings LLC,2,2,2796.0,3092.0,2944.0,5888.0,0.0,0.0,674.0,0.0,0.0,0.0,0.0,0.0,0.0,1596.0,175,546,0.0
14208,"Marina Bay 880 Condo Assoc, Inc.",1,1,12000.0,12000.0,12000.0,12000.0,1.0,0.0,0.0,0.0,0.0,2400.0,0.0,0.0,0.0,0.0,495,495,7.2
14209,Marina Bay Yacht Harbor,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534,534,0.0
14210,Marina City Club,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381,381,0.0
14211,Marina Condominium Association,4,4,1484.0,2099.0,1791.5,7166.0,2.0,0.0,0.0,0.0,4950.0,0.0,2216.0,0.0,0.0,0.0,331,524,48.0
14212,Marina Grande Riviera Beach CAI,2,2,19200.0,19200.0,19200.0,38400.0,2.0,0.0,0.0,0.0,0.0,7680.0,0.0,0.0,0.0,0.0,553,586,28.8
14213,Marina Harbor Apartments,2,2,275.0,2405.0,1340.0,2680.0,0.0,329.0,329.0,275.0,0.0,0.0,0.0,349.0,0.0,740.0,492,616,0.0
14214,Marina Heights Tempe,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381,381,0.0
14215,Marina View Condominiums,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132,132,0.0
14216,Marina Village,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351,351,0.0
14217,Marine Corps,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191,191,0.0
14218,Mariner Bay at Annapolis,1,1,7980.0,7980.0,7980.0,7980.0,0.0,2240.0,0.0,0.0,0.0,0.0,2036.0,1188.0,2516.0,0.0,427,427,0.0
14219,Mariners Village Two,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626,626,0.0
14220,Maringa Condo Association,1,1,1484.0,1484.0,1484.0,1484.0,0.0,0.0,0.0,0.0,975.0,0.0,509.0,0.0,0.0,0.0,275,275,12.0
14221,"Marion General Hospital, Inc.",1,1,15511.0,15511.0,15511.0,15511.0,2.0,1172.0,0.0,120.0,11678.0,0.0,509.0,594.0,1318.0,0.0,113,113,14.4
14222,Marion Toyota,1,1,2237.0,2237.0,2237.0,2237.0,1.0,0.0,0.0,0.0,789.0,0.0,0.0,85.0,574.0,0.0,120,120,24.0
14223,Marion West Community Hospital,1,1,7512.0,7512.0,7512.0,7512.0,1.0,560.0,0.0,54.5,5408.0,0.0,509.0,297.0,629.0,0.0,387,387,7.2
14224,Mariposa Loft Apartment,2,2,250.0,658.0,454.0,908.0,0.0,0.0,329.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,358,629,0.0
14225,Marist School,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320,320,0.0
14226,Maritime Centre Mall,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565,565,0.0
14227,Maritime Energy,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201,201,0.0
14228,Marja Acres,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565,565,0.0
